[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1223035272.812000 10/3/2008, 2:01:12 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.56,  Build 72

INFO, NAME, TbMnO3 TF on LaAlO3
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, Rectangular
INFO, COMMENT, Probe von Joost 7125
INFO, SEQUENCE FILE: RSO-0Field-2K-300K.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1223036329.921,,3.193878e+004,1.999434e+000,-1.114424e-003,1.055729e-006,0.000000e+000,0.000000e+000,2,9.856161e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,8.000000e-001,4.000000e+000,2,2,1.850128e-004,0,,0,
1223036365.859,,3.312057e+004,1.999496e+000,-1.169764e-003,2.049736e-008,0.000000e+000,0.000000e+000,2,9.857836e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,8.000000e-001,4.000000e+000,2,2,4.519224e-004,0,,0,
1223036404.578,,3.430307e+004,1.999383e+000,-1.231106e-003,3.915211e-006,0.000000e+000,0.000000e+000,2,9.844124e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,8.000000e-001,4.000000e+000,2,2,3.700256e-004,0,,0,
1223036442.046,,3.548559e+004,1.999512e+000,-1.285864e-003,2.223740e-006,0.000000e+000,0.000000e+000,2,9.842246e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,8.000000e-001,4.000000e+000,2,2,1.860857e-004,0,,0,
1223036481.234,,3.667175e+004,1.999456e+000,-1.348550e-003,2.453572e-006,0.000000e+000,0.000000e+000,2,9.844530e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,8.000000e-001,4.000000e+000,2,2,4.318953e-004,0,,0,
1223036520.968,,3.785353e+004,1.999476e+000,-1.406958e-003,4.544122e-006,0.000000e+000,0.000000e+000,2,9.851182e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,8.000000e-001,4.000000e+000,2,2,8.201599e-005,0,,0,
1223036560.656,,3.903604e+004,1.999522e+000,-1.456905e-003,9.711803e-006,0.000000e+000,0.000000e+000,2,9.825317e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,8.000000e-001,4.000000e+000,2,2,3.910065e-004,0,,0,
1223036601.140,,4.022001e+004,1.999450e+000,-1.526377e-003,4.305243e-008,0.000000e+000,0.000000e+000,2,9.840227e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,8.000000e-001,4.000000e+000,2,2,2.098083e-005,0,,0,
1223036641.875,,4.140325e+004,1.999353e+000,-1.581100e-003,5.788277e-006,0.000000e+000,0.000000e+000,2,9.831223e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,8.000000e-001,4.000000e+000,2,2,2.049208e-004,0,,0,
1223036683.312,,4.258359e+004,1.999594e+000,-1.647892e-003,8.361128e-006,0.000000e+000,0.000000e+000,2,9.827698e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,8.000000e-001,4.000000e+000,2,2,3.080368e-004,0,,0,
1223036725.250,,4.376828e+004,1.999692e+000,-1.704999e-003,4.459170e-007,0.000000e+000,0.000000e+000,2,9.834328e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,8.000000e-001,4.000000e+000,2,2,3.290176e-004,0,,0,
1223036767.687,,4.495006e+004,1.999486e+000,-1.764559e-003,1.010290e-006,0.000000e+000,0.000000e+000,2,9.827583e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,8.000000e-001,4.000000e+000,2,2,2.470016e-004,0,,0,
1223036810.875,,4.613330e+004,1.999666e+000,-1.825211e-003,1.561409e-006,0.000000e+000,0.000000e+000,2,9.834170e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,8.000000e-001,4.000000e+000,2,2,3.489256e-004,0,,0,
1223036857.921,,4.731655e+004,1.999810e+000,-1.888700e-003,1.225222e-005,0.000000e+000,0.000000e+000,2,9.831557e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,8.000000e-001,4.000000e+000,2,2,3.910065e-004,0,,0,
1223036901.656,,4.849979e+004,1.999707e+000,-1.932214e-003,1.390303e-005,0.000000e+000,0.000000e+000,2,9.816356e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,8.000000e-001,4.000000e+000,2,2,6.198883e-005,0,,0,
1223036946.343,,4.968013e+004,1.999409e+000,-2.004986e-003,1.097218e-005,0.000000e+000,0.000000e+000,2,9.827290e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,8.000000e-001,4.000000e+000,2,2,3.910065e-004,0,,0,
1223036991.281,,5.086482e+004,1.999599e+000,-2.069437e-003,1.586598e-006,0.000000e+000,0.000000e+000,2,9.826576e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,8.000000e-001,4.000000e+000,2,2,1.850128e-004,0,,0,
1223037037.640,,5.204806e+004,1.999568e+000,-2.132722e-003,2.187685e-006,0.000000e+000,0.000000e+000,2,9.822792e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,8.000000e-001,4.000000e+000,2,2,1.649857e-004,0,,0,
1223037084.328,,5.323130e+004,1.999687e+000,-2.198020e-003,1.886730e-006,0.000000e+000,0.000000e+000,2,9.825089e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,8.000000e-001,4.000000e+000,2,2,2.470016e-004,0,,0,
1223037131.609,,5.441309e+004,1.999738e+000,-2.265423e-003,4.494566e-006,0.000000e+000,0.000000e+000,2,9.817041e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,8.000000e-001,4.000000e+000,2,2,2.260208e-004,0,,0,
1223037179.843,,5.559633e+004,1.999578e+000,-2.320882e-003,6.631049e-006,0.000000e+000,0.000000e+000,2,9.820866e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,8.000000e-001,4.000000e+000,2,2,3.700256e-004,0,,0,
1223037228.031,,5.677956e+004,1.999893e+000,-2.388834e-003,1.151251e-005,0.000000e+000,0.000000e+000,2,9.815825e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,8.000000e-001,4.000000e+000,2,2,3.910065e-004,0,,0,
1223037275.968,,5.796426e+004,1.999574e+000,-2.437835e-003,3.066348e-006,0.000000e+000,0.000000e+000,2,9.816144e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,8.000000e-001,4.000000e+000,2,2,1.850128e-004,0,,0,
