[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1222958089.968000 10/2/2008, 4:34:49 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.56,  Build 72

INFO, NAME, TbMnO3 TF on LaAlO3
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, Rectangular
INFO, COMMENT, Probe von Joost 7125
INFO, SEQUENCE FILE: RSO-0Field-2K-300K.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1222964618.687,,1.000000e+002,2.904762e+001,-3.170396e-006,2.938806e-009,2.053784e-002,2.306057e-003,3,9.007171e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,3,3,9.729004e-002,0,,0,
1222964860.484,,1.000000e+002,3.005480e+001,-3.123663e-006,6.454856e-009,1.423468e-002,1.056236e-003,3,9.003606e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,3,3,9.939957e-002,0,,0,
1222965100.765,,1.000000e+002,3.105504e+001,-3.074861e-006,8.567176e-009,1.100673e-002,3.015167e-003,3,8.989024e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,3,3,9.186935e-002,0,,0,
1222965343.796,,1.000000e+002,3.206816e+001,-3.038244e-006,7.192146e-009,8.123164e-003,1.479965e-003,3,8.980680e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,3,3,1.137123e-001,0,,0,
1222965586.609,,1.000000e+002,3.306378e+001,-3.000419e-006,1.436690e-008,1.890791e-003,3.758379e-003,3,8.993190e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,3,3,1.262589e-001,0,,0,
1222965820.906,,1.000000e+002,3.405880e+001,-2.961555e-006,6.833373e-009,1.136306e-003,2.375512e-003,3,8.992805e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,3,3,9.918213e-002,0,,0,
1222966060.953,,1.000000e+002,3.505817e+001,-2.955910e-006,4.570679e-009,-9.507430e-004,2.824321e-003,3,8.984160e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,3,3,8.815002e-002,0,,0,
1222966300.734,,1.000000e+002,3.605822e+001,-2.933931e-006,5.932875e-009,-4.606440e-003,3.737797e-003,3,8.991106e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,3,3,1.016388e-001,0,,0,
1222966539.312,,1.000000e+002,3.705228e+001,-2.913984e-006,5.697555e-009,-5.307459e-003,6.295468e-004,3,8.950182e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,3,3,9.861755e-002,0,,0,
1222966779.843,,1.000000e+002,3.805499e+001,-2.905124e-006,2.033879e-008,-8.198960e-003,6.864762e-004,3,8.972895e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,3,3,1.017303e-001,0,,0,
1222967023.906,,1.000000e+002,3.906279e+001,-2.895438e-006,1.574709e-008,-8.838505e-003,2.588782e-003,3,8.989360e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,1.000000e+000,3,3,1.164398e-001,0,,0,
